"","V1","N"
"1","48219",2276
"2","48228",2110
"3","48235",1989
"4","48205",1927
"5","48227",1878
"6","48234",1809
"7","48213",1689
"8","48224",1618
"9","48238",1477
"10","48221",1475
"11","48223",1331
"12","48204",1315
"13","48203",1267
"14","48209",1238
"15","48210",1215
"16","48214",1027
"17","48212",931
"18","48211",925
"19","48207",910
"20","48206",828
"21","48215",778
"22","48208",763
"23","48202",760
"24","48217",475
"25","48201",460
"26","48216",450
"27","48239",410
"28","48226",274
"29","48240",250
"30","48236",235
"31","48225",170
"32","48229",117
"33","48126",111
"34","48230",93
"35","48089",89
"36","48075",77
"37","48220",75
"38","48021",67
"39","48237",62
"40","48124",54
"41","48030",49
"42","48218",47
"43","48243",44
"44","48152",43
"45","48091",40
"46","48223:48227",35
"47","48127",32
"48","48211:48234",32
"49","1",30
"50","48146",30
"51","48209; 48210",30
"52","48034",28
"53","48207:48211",26
"54","48219:48235",26
"55","48035",25
"56","48122",25
"57","48174",22
"58","48101",21
"59","48219;48152",19
"60","48221:48235",19
"61","48025",18
"62","48033",18
"63","48071",18
"64","48154",17
"65","48335",17
"66","48036",16
"67","48075:48235",16
"68","48076",16
"69","48141",16
"70","48093",15
"71","48120",15
"72","48125",15
"73","48195",15
"74","48223:48228",15
"75","48235;48219:48235",15
"76","48111",14
"77","48128",14
"78","48180",14
"79","48185",14
"80","48336",14
"81","48066",13
"82","48213:48224",13
"83","48025:48219",12
"84","48170",12
"85","48080",11
"86","48187",11
"87","48188",11
"88","48227:48238",11
"89","48242",11
"90","48009",10
"91","48135",10
"92","48204:48210",10
"93","48313",10
"94","48317",10
"95","48322",10
"96","48334",10
"97","48043",9
"98","48067",9
"99","48092",9
"100","48150",9
"101","48375",9
"102","48072",8
"103","48073",8
"104","48081",8
"105","48134",8
"106","48192",8
"107","48312",8
"108","48026",7
"109","48038",7
"110","48083",7
"111","48088",7
"112","48098",7
"113","48184",7
"114","48205:48213",7
"115","48223; 48239; 48223",7
"116","48304",7
"117","48310",7
"118","48015",6
"119","48045",6
"120","48082",6
"121","48104",6
"122","48138",6
"123","48183",6
"124","48186",6
"125","48221:48235;48235",6
"126","48301",6
"127","48315",6
"128","48326",6
"129","48342",6
"130","48382",6
"131","48094",5
"132","48167",5
"133","48207:48214",5
"134","48302",5
"135","48307",5
"136","48340",5
"137","48390",5
"138","48021:48091",4
"139","48042",4
"140","48060",4
"141","48193",4
"142","48197",4
"143","48198",4
"144","48201:48216",4
"145","48211;48213",4
"146","78184",4
"147","48044",3
"148","48047",3
"149","48051",3
"150","48069",3
"151","48085",3
"152","48126:48128",3
"153","48161",3
"154","48164",3
"155","48166",3
"156","48202:48208",3
"157","48217; 48218",3
"158","48306",3
"159","48309",3
"160","48343",3
"161","48911",3
"162","49014",3
"163","11433",2
"164","11701",2
"165","15844",2
"166","48018",2
"167","48034:48076",2
"168","48084",2
"169","48105",2
"170","48235-2356",2
"171","48239; 48228",2
"172","48312-4662",2
"173","48314",2
"174","48323",2
"175","48324",2
"176","48362",2
"177","48386",2
"178","48507",2
"179","48837",2
"180","48843",2
"181","48879",2
"182","48910",2
"183","49068",2
"184","49201",2
"185","80147",2
"186","N8X1T5",2
"187","N9C 2J9",2
"188","00121",1
"189","00171",1
"190","01100",1
"191","06109",1
"192","07801",1
"193","08221",1
"194","11209",1
"195","12010",1
"196","12042",1
"197","12063",1
"198","12144",1
"199","12206",1
"200","13760",1
"201","14127",1
"202","14204",1
"203","14220",1
"204","14521",1
"205","14550",1
"206","14822",1
"207","15904",1
"208","16110",1
"209","16823",1
"210","17111",1
"211","17241",1
"212","18416",1
"213","18615",1
"214","18951",1
"215","19140",1
"216","19145",1
"217","19703:19809",1
"218","20002",1
"219","20004",1
"220","20018",1
"221","20109",1
"222","20842",1
"223","21673",1
"224","21758",1
"225","25438",1
"226","29505",1
"227","30349",1
"228","30350",1
"229","31558",1
"230","32725",1
"231","32819",1
"232","33140",1
"233","33308",1
"234","33602",1
"235","33884",1
"236","33901",1
"237","35552",1
"238","36104",1
"239","40701",1
"240","43017",1
"241","43228",1
"242","43537",1
"243","43606",1
"244","43620",1
"245","44111",1
"246","448212",1
"247","45013",1
"248","45255",1
"249","45320",1
"250","46349",1
"251","47929",1
"252","48025:48073",1
"253","48041",1
"254","48048",1
"255","48062",1
"256","48068",1
"257","48073-0923",1
"258","48073:48084",1
"259","48096",1
"260","48103",1
"261","48108",1
"262","48133",1
"263","48144",1
"264","48165",1
"265","48168",1
"266","48173",1
"267","48189",1
"268","48191",1
"269","48217; 48217; 48124",1
"270","48217;48217;48124",1
"271","48243-1312",1
"272","48320",1
"273","48321",1
"274","48327",1
"275","48327:48328",1
"276","48328",1
"277","48331",1
"278","48363",1
"279","48371",1
"280","48374",1
"281","48377",1
"282","48393",1
"283","48846",1
"284","48875",1
"285","48915",1
"286","49010",1
"287","49087",1
"288","49090",1
"289","49103",1
"290","49119",1
"291","49128",1
"292","49203",1
"293","49423",1
"294","53541",1
"295","560001",1
"296","60602",1
"297","65129",1
"298","67550",1
"299","70011",1
"300","73801",1
"301","74024",1
"302","75685",1
"303","76125",1
"304","78288",1
"305","78631",1
"306","78701",1
"307","78725",1
"308","80023",1
"309","80144",1
"310","83025",1
"311","85308",1
"312","91010",1
"313","91016",1
"314","91019",1
"315","93033",1
"316","93645",1
"317","95351",1
"318","95687",1
"319","96017",1
"320","N9A5T2",1
