"","ZIP","NUM_SUBSTANCE","NUM_WHITECOLLAR","NUM_PROPERTY_RELATED","NUM_VIOLENT","CLUSTER"
"48101",48101,1,3,9,4,"SAFE"
"48103",48103,0,1,0,0,"SAFE"
"48104",48104,0,2,17,19,"SAFE"
"48105",48105,0,0,0,0,"SAFE"
"48108",48108,0,0,1,1,"SAFE"
"48111",48111,0,1,1,5,"SAFE"
"48120",48120,1,1,7,4,"SAFE"
"48122",48122,3,8,51,21,"SAFE"
"48124",48124,5,10,58,22,"SAFE"
"48125",48125,0,0,5,3,"SAFE"
"48126",48126,64,65,781,486,"SAFE"
"48127",48127,9,33,210,149,"SAFE"
"48128",48128,1,3,6,7,"SAFE"
"48133",48133,0,1,2,1,"SAFE"
"48134",48134,0,0,1,1,"SAFE"
"48135",48135,0,0,1,0,"SAFE"
"48138",48138,1,0,4,1,"SAFE"
"48141",48141,3,1,2,2,"SAFE"
"48144",48144,0,0,1,0,"SAFE"
"48146",48146,4,1,4,5,"SAFE"
"48150",48150,1,1,47,29,"SAFE"
"48152",48152,62,48,465,319,"SAFE"
"48154",48154,0,2,2,4,"SAFE"
"48161",48161,0,0,0,0,"SAFE"
"48164",48164,0,0,0,1,"SAFE"
"48165",48165,0,0,0,1,"SAFE"
"48166",48166,0,0,1,1,"SAFE"
"48167",48167,0,1,1,0,"SAFE"
"48168",48168,0,0,1,0,"SAFE"
"48170",48170,0,1,1,5,"SAFE"
"48173",48173,0,0,0,0,"SAFE"
"48174",48174,3,2,3,3,"SAFE"
"48180",48180,1,1,0,1,"SAFE"
"48183",48183,0,0,2,1,"SAFE"
"48184",48184,0,2,0,5,"SAFE"
"48185",48185,0,0,3,4,"SAFE"
"48186",48186,0,0,0,3,"SAFE"
"48187",48187,0,1,7,3,"SAFE"
"48188",48188,0,0,2,5,"SAFE"
"48189",48189,0,0,0,0,"SAFE"
"48191",48191,0,0,1,0,"SAFE"
"48192",48192,3,1,0,2,"SAFE"
"48193",48193,0,0,3,4,"SAFE"
"48195",48195,1,0,8,2,"SAFE"
"48197",48197,1,0,1,1,"SAFE"
"48198",48198,1,1,1,0,"SAFE"
"48201",48201,1154,1106,14998,7621,"MEDIUM"
"48202",48202,1009,1391,13529,8758,"MEDIUM"
"48203",48203,1873,1200,12627,9169,"MEDIUM"
"48204",48204,1787,1766,17095,12166,"MEDIUM"
"48205",48205,3795,2819,33830,21791,"EXTREME"
"48206",48206,919,1162,10896,7678,"MEDIUM"
"48207",48207,801,1229,17052,6590,"MEDIUM"
"48208",48208,691,620,9006,5614,"LOW"
"48209",48209,1023,911,17715,10837,"MEDIUM"
"48210",48210,1390,864,14797,9100,"MEDIUM"
"48211",48211,535,468,5617,3693,"LOW"
"48212",48212,874,593,7965,5001,"LOW"
"48213",48213,2144,1799,18526,13081,"HIGH"
"48214",48214,786,985,11601,6952,"MEDIUM"
"48215",48215,513,712,7819,4588,"LOW"
"48216",48216,195,325,7115,2521,"LOW"
"48217",48217,342,289,3330,2363,"LOW"
"48218",48218,11,5,59,36,"SAFE"
"48219",48219,2278,2977,30929,17837,"EXTREME"
"48220",48220,25,123,435,142,"SAFE"
"48221",48221,1062,3250,24297,12958,"HIGH"
"48223",48223,1114,1519,15780,8869,"MEDIUM"
"48224",48224,1733,2537,30107,17053,"EXTREME"
"48225",48225,106,99,1045,687,"SAFE"
"48226",48226,648,1022,15418,6276,"MEDIUM"
"48227",48227,2426,2724,27810,18817,"EXTREME"
"48228",48228,2691,3289,35384,24445,"EXTREME"
"48229",48229,35,27,319,147,"SAFE"
"48230",48230,43,52,579,372,"SAFE"
"48234",48234,1995,2427,25050,16102,"HIGH"
"48235",48235,2168,3853,37154,20135,"EXTREME"
"48236",48236,193,216,3472,1804,"LOW"
"48237",48237,13,14,155,95,"SAFE"
"48238",48238,1962,2229,21545,14927,"HIGH"
"48239",48239,260,299,3661,2044,"LOW"
"48240",48240,314,367,3812,1511,"LOW"
"48242",48242,0,0,2,2,"SAFE"
"48243",48243,45,80,1422,468,"SAFE"
